entidad,descripcion,titulo,tipo,herencia,kontroler,formulario
"ARTICULO","Artículos","Artículos","E","","",T
"PROVEEDOR","Proveedores","Proveedores","E","","",T
"MATERIAL","Materiales","Materiales","E","","",F
"COLOR","Colores","Colores","E","","",T
"LISTADEPRECIOS","Listas de precios","Lista de precios","E","","",T
"VALOR","Valores","Valores","E","","",T
"VENDEDOR","Vendedores","Vendedores","E","","",T
"CLIENTE","Clientes","Clientes","E","","",T
"FACTURA","Factura manual de venta","Factura","E","Ent_ComprobanteDeVentasConValores","ComprobanteDeVentasConValores",T
"STOCKCOMBINACION","Stock combinacion","Stock combinacion","E","Ent_stock","",F
"PROVINCIA","Provincias","Provincias","E","","",T
"CORREDOR","Corredores","Corredores","E","","",F
"BANCO","Bancos","Bancos","E","","",F
"SUCURSAL","Sucursales","Sucursales","E","","",T
"DOCUMENTOPROPIO","Documentos propios","Documentos propios","E","","",F
"ITEMARTICULOSVENTAS","Items de facturas","Linea detalle factura","I","ARTICULOSVENTA","",F
"ITEMVALORES","Items de valores","Linea detalle valores","I","VALORESVENTA","",F
"PRECIODEARTICULO","Precios de artículos","Precio de articulo","E","","",F
"TICKETFACTURA","Factura fiscal de venta","Comprobante fiscal factura","E","Ent_ComprobanteDeVentasConValores","ComprobanteDeVentasConValores",T
"NOTADECREDITO","Nota de crédito manual de venta","Nota de crédito","E","Ent_ComprobanteDeVentasConValores","ComprobanteDeVentasConValores",T
"NOTADEDEBITO","Nota de débito manual de venta","Nota de débito","E","Ent_ComprobanteDeVentasConValores","ComprobanteDeVentasConValores",T
"TICKETNOTADECREDITO","Nota de crédito fiscal de venta","Comprobante fiscal nota de crédito","E","Ent_ComprobanteDeVentasConValores","ComprobanteDeVentasConValores",T
"TICKETNOTADEDEBITO","Nota de débito fiscal de venta","Comprobante fiscal nota de débito","E","Ent_ComprobanteDeVentasConValores","ComprobanteDeVentasConValores",T
"STOCKARTICULOS","Stock de artículos","Stock de artículos","E","Ent_stock","",F
"MONEDA","Moneda","Moneda","E","","",T
"ITEMCONDICIONDEPAGO","Item del detalle de la condición de pago","Linea detalle condición de pago","I","","",F
"ITEMMONEDA","Item del detalle de moneda","Linea detalle moneda","I","","",F
"ORIGENDEDATOS","Origenes de datos","Origenes de datos","E","","",T
"ENTIDADFINANCIERA","Entidad financiera","Entidad financiera","E","","",T
"MOTIVO","Tipo de motivos","Motivo","E","","",T
"REMITO","Remito de venta","Remito","E","Ent_ComprobanteDeVentasSinValores","ComprobanteDeVentasSinValores",T
