entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"AJUSTECCPROVEEDOR","Anulado","ajuccpro","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"AJUSTECCPROVEEDOR","HoraAltaFW","ajuccpro","HAltaFW",F,"C",8,0,"CARACTER",F,"",F,"=goservicios.librerias.obtenerHora()",F,""
"AJUSTECCPROVEEDOR","FechaAltaFW","ajuccpro","FAltaFW",F,"D",8,0,"CARACTER",F,"",F,"=goservicios.librerias.obtenerFecha()",F,""
"AJUSTECCPROVEEDOR","Valor","ajuccpro","VALOR",T,"C",5,0,"CODIGO",F,"VALOR",F,"",T,""
"AJUSTECCPROVEEDOR","MonedaComprobante","ajuccpro","Moneda",T,"C",10,0,"CODIGO",F,"MONEDA",F,"",T,""
"AJUSTECCPROVEEDOR","Motivo","ajuccpro","MOTIVO",T,"C",3,0,"CODIGO",F,"MOTIVO",F,"",T,""
"AJUSTECCPROVEEDOR","TipoComprobante","ajuccpro","FACTTIPO",F,"N",2,0,"NUMERICO",F,"",F,"=44",F,""
"AJUSTECCPROVEEDOR","Letra","ajuccpro","FLETRA",T,"C",1,0,"NUMEROCOMPROBANTE",F,"",F,"="X"",T,""
"AJUSTECCPROVEEDOR","PuntoDeVenta","ajuccpro","FPTOVEN",T,"N",4,0,"NUMEROCOMPROBANTE",F,"",F,"=goServicios.Parametros.Felino.Numeraciones.BocaDeExpendio",T,""
"AJUSTECCPROVEEDOR","Numero","ajuccpro","FNUMCOMP",T,"N",8,0,"NUMEROCOMPROBANTE",F,"",F,"",T,""
"AJUSTECCPROVEEDOR","FechaVencimiento","","",F,"D",8,0,"FECHA",F,"",F,"",F,""
"AJUSTECCPROVEEDOR","Fecha","ajuccpro","FFCH",T,"D",8,0,"FECHACOMPROBANTE",F,"",F,"=GOLIBRERIAS.OBTENERFECHA()",T,""
"AJUSTECCPROVEEDOR","Cotizacion","ajuccpro","Cotiz",T,"N",15,5,"NUMERICONONEGATIVO",F,"",F,"",T,""
"AJUSTECCPROVEEDOR","Proveedor","","",F,"C",10,0,"CODIGO",F,"PROVEEDOR",F,"",F,""
"AJUSTECCPROVEEDOR","Codigo","ajuccpro","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",T,""
"AJUSTECCPROVEEDOR","MontoComprobanteSinImpuesto","ajuccpro","MontoSin",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"AJUSTECCPROVEEDOR","MontoComprobanteConImpuesto","ajuccpro","MontoCon",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"AJUSTECCPROVEEDOR","SubtotalNeto","ajuccpro","fSubToN",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"AJUSTECCPROVEEDOR","SimboloMonetarioComprobante","","",F,"C",3,0,"CARACTER",F,"",F,"",F,""
"AJUSTECCPROVEEDOR","AjusteDetalle","detajuccpro","CODIGO",T,"G",38,0,"DETALLEITEMAJUSTECCPROVEEDOR",F,"",F,"",F,""
"AJUSTECCPROVEEDOR","Obs","ajuccpro","FObs",T,"C",254,0,"OBSERVACION",F,"",T,"",F,""
